"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 11 10:23:57 UTC 2026","Tue Aug 11 10:23:59 UTC 2026","1605","tests","test_login","","","","Verify user can login with valid credentials",""
"passed","Tue Aug 11 10:24:01 UTC 2026","Tue Aug 11 10:24:02 UTC 2026","178","tests","test_logout","","","","Verify user can logout successfully",""
"passed","Tue Aug 11 10:24:02 UTC 2026","Tue Aug 11 10:24:04 UTC 2026","1496","tests","test_registration","","","","Verify user can register successfully",""
"passed","Tue Aug 11 10:23:56 UTC 2026","Tue Aug 11 10:23:57 UTC 2026","963","tests","test_checkout","","","","Verify user can checkout successfully",""
